No,Familya,Tip,Bitki,Anavatan,Ortalama Boy,Çiçeklenme Mevsimi,Başlıca Kullanım,Ömür,Görsel
1,Zeytingiller,Ağaç,Zeytin,Akdeniz havzası,8 m,İlkbahar,Meyve ve yağ,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Olivesfromjordan.jpg/330px-Olivesfromjordan.jpg
2,Çınargiller,Ağaç,Çınar,Anadolu ve Balkanlar,30 m,İlkbahar,Gölge ve süs,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Plane_tree_Grove_Tsav_River.jpg/330px-Plane_tree_Grove_Tsav_River.jpg
3,Kayıngiller,Ağaç,Meşe,Kuzey Yarımküre,25 m,İlkbahar,Kereste ve mantar,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Quercus_cerris_folliage.jpg/330px-Quercus_cerris_folliage.jpg
4,Zambakgiller,Otsu,Lale,Orta Asya ve Anadolu,30 cm,İlkbahar,Süs bitkisi,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Tulipa_suaveolens_floriade_to_Canberra.jpg/330px-Tulipa_suaveolens_floriade_to_Canberra.jpg
5,Gülgiller,Çalı,Gül,Asya,150 cm,İlkbahar ve yaz,Süs ve gül yağı,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Bridal_pink_-_morwell_rose_garden.jpg/330px-Bridal_pink_-_morwell_rose_garden.jpg
6,Buğdaygiller,Otsu,Buğday,Bereketli Hilal,100 cm,İlkbahar,Un ve ekmek,Tek yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Bl%C3%A9_tendre_%28GRAPELLI%29_AO-5-cliche_Jean_Weber_%285%29_%2823975019962%29.jpg/330px-Bl%C3%A9_tendre_%28GRAPELLI%29_AO-5-cliche_Jean_Weber_%285%29_%2823975019962%29.jpg
7,Papatyagiller,Otsu,Ayçiçeği,Kuzey Amerika,200 cm,Yaz,Yemeklik yağ,Tek yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/330px-Sunflower_sky_backdrop.jpg
8,Çaygiller,Çalı,Çay,Çin ve Güneydoğu Asya,150 cm,Sonbahar,İçecek,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Csinensis.jpg/330px-Csinensis.jpg
9,Huşgiller,Çalı,Fındık,Karadeniz kıyıları,5 m,Kış sonu,Kuruyemiş ve yağ,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Hasselblade.jpg/330px-Hasselblade.jpg
10,Ballıbabagiller,Çalı,Kekik,Akdeniz havzası,40 cm,Yaz,Baharat ve şifa,Çok yıllık,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Thymus_vulgaris1.JPG/330px-Thymus_vulgaris1.JPG
